Feature,Importance
ChargePerTenure,0.35611452778108715
Contract_Month-to-month,0.264062174556316
InternetService_Fiber optic,0.09377761830495292
OnlineSecurity_No,0.057684358669474425
PaymentMethod_Electronic check,0.04108188897055213
TechSupport_No,0.038076725917811825
MonthlyCharges,0.027240069637480806
TotalCharges,0.027081765445356655
AvgMonthlyCharge,0.02633622404300748
MultipleLines_No,0.014339425440682795
PaperlessBilling_No,0.013186372442196049
PaperlessBilling_Yes,0.008165038236664925
Contract_Two year,0.005636612961733169
OnlineBackup_No,0.0054821670861088505
SeniorCitizen,0.004061030562496448
StreamingMovies_Yes,0.0037534021850113646
tenure,0.003403883495319752
Contract_One year,0.001806754092918438
PhoneService_No,0.0013737272836505763
PhoneService_Yes,0.0013530315111004354
